"course.num","gpa.diff","residency","rural","sat.act.std","hrs.att.diff","prior.online.exp","hs.gpa.wgh","fa19.enroll.status","gender","survey.respondent","fin.aid.sp20","safe.living.place","fin.situation","tech.need","internet.access","study.envir","perform.percept","instructor.supp","live.on.campus.sp20","infected.by.covid","died.from.covid","covid.news.time"
224,-0.975,"In-State","Non-Rural",-1.62542202063193,1,"No",2.2266,"New Transfer Student","Male","Yes","Yes",3,"My financial situation worsened","Purchased tech tools","No","My study environment became worse","My performance worsened overall",2,"Yes","None","None","More than 3 hours"
110,-0.6592,"In-State","Non-Rural",-1.69969065081746,3,"Yes",NA,"New Transfer Student","Male","Yes","Yes",2,"My financial situation worsened","Had all needed tech","No","My study environment became worse","My performance worsened overall",2,"No","None","None","2 – 3 hours"
341,0.455,"In-State","Non-Rural",NA,4,"Yes",NA,"Continuing Student","Male","Yes","Yes",5,"My financial situation didn't change","Had all needed tech","Yes","My study environment didn’t change","My performance improved overall",3,"Yes","None","None","Less than 30 minutes"
224,0.0549999999999999,"In-State","Rural",-1.5511533904464,0,"No",NA,"Continuing Student","Male","Yes","Yes",4,"My financial situation worsened","Couldn't acquire some tech","No","My study environment became worse","My performance worsened overall",1,"No","Family member(s)","Family member(s)","30 minutes – 1 hour"
231,-1.3572,"In-State","Non-Rural",NA,1,"No",NA,"New Transfer Student","Female","Yes","Yes",5,"My financial situation didn't change","Had all needed tech","Yes","My study environment became worse","My performance improved overall",4,"Yes","None","None","Less than 30 minutes"
131,-0.19,"Out-of-State","Non-Rural",-1.77395928100299,4,"Yes",2.71,"Continuing Student","Female","Yes","Yes",4,"My financial situation improved","Had all needed tech","No","My study environment became worse","My performance worsened overall",2,"Yes","None","None","More than 3 hours"
104,0.2934,"In-State","Non-Rural",NA,1,"Yes",NA,"Continuing Student","Female","Yes","Yes",5,"My financial situation didn't change","Had all needed tech","Yes","My study environment became worse","My performance worsened overall",2,"No","None","None","More than 3 hours"
224,-0.6614,"Out-of-State","Non-Rural",NA,-1,"Yes",2.9159,"Continuing Student","Male","Yes","No",4,"My financial situation didn't change","Had all needed tech","Yes","My study environment became worse","My performance worsened overall",NA,"No","None","None",NA
231,0.5085,"In-State","Non-Rural",-0.288586677292353,-5,"Yes",4.4194,"Continuing Student","Male","Yes","Yes",5,"My financial situation didn't change","Had all needed tech","Yes","My study environment became worse","My performance didn’t change",2,"Yes","None","None","30 minutes – 1 hour"
231,0.0493000000000001,"In-State","Non-Rural",NA,-1,"Yes",NA,"Continuing Student","Female","Yes","Yes",5,"My financial situation worsened","Purchased tech tools","No","My study environment became worse","My performance didn’t change",2,"Yes","Family member(s),Close friend(s)","Close friend(s)","Less than 30 minutes"
131,-0.5707,"In-State","Rural",-0.51139256784895,-1,"No",NA,"Continuing Student","Female","Yes","Yes",5,"My financial situation didn't change","Had all needed tech","Yes","My study environment became worse","My performance didn’t change",3,"Yes","None","None","Less than 30 minutes"
341,0.87,"Out-of-State","Non-Rural",-0.437123937663418,2,"Yes",NA,"Continuing Student","Female","Yes","Yes",5,"My financial situation didn't change","Had all needed tech","Yes","My study environment became better","My performance improved overall",3,"No","None","None","Less than 30 minutes"
340,0.00500000000000034,"In-State","Non-Rural",-0.467545166542966,0,"Yes",NA,"Continuing Student","Male","Yes","Yes",5,"My financial situation improved","Had all needed tech","Yes","My study environment didn’t change","My performance didn’t change",5,"Yes","None","None","1 – 2 hours"
